Date,Numbers,Lucky Stars,Payouts,Rolled
Tuesday 2nd Feb 2021,"18, 20, 35, 38, 48","9, 12","£36,764,670
Rolled",True
Friday 29th Jan 2021,"1, 5, 27, 36, 42","1, 6","£27,189,645
Rolled",True
Tuesday 26th Jan 2021,"5, 7, 25, 37, 40","2, 8","£15,067,100
Rolled",True
Friday 22nd Jan 2021,"8, 16, 42, 44, 47","6, 7","£71,712,110",False
Tuesday 19th Jan 2021,"25, 27, 31, 35, 43","5, 6","£60,310,182
Rolled",True
Friday 15th Jan 2021,"4, 10, 27, 38, 40","3, 11","£50,129,756
Rolled",True
Tuesday 12th Jan 2021,"2, 10, 18, 34, 35","6, 9","£37,176,013
Rolled",True
Friday 8th Jan 2021,"18, 23, 37, 41, 42","4, 6","£27,784,790
Rolled",True
Tuesday 5th Jan 2021,"12, 34, 37, 38, 42","1, 3","£15,352,700
Rolled",True
Friday 1st Jan 2021,"16, 28, 32, 44, 48","1, 9","£39,774,466.40",False
Friday 30th Dec 2022,"17, 34, 42, 47, 48","1, 9","£15,080,700
Rolled",True
Tuesday 27th Dec 2022,"19, 31, 33, 34, 43","3, 5","£23,875,805",False
Friday 23rd Dec 2022,"16, 17, 23, 26, 35","5, 11","£14,999,100
Rolled",True
Tuesday 20th Dec 2022,"1, 11, 17, 20, 27","4, 5","£45,082,941",False
Friday 16th Dec 2022,"2, 15, 19, 35, 44","2, 7","£35,395,096
Rolled",True
Tuesday 13th Dec 2022,"3, 9, 12, 26, 30","10, 11","£23,268,384
Rolled",True
Friday 9th Dec 2022,"8, 27, 31, 46, 50","1, 3","£14,614,900
Rolled",True
Tuesday 6th Dec 2022,"12, 20, 25, 26, 27","8, 12","£123,320,251",False
Friday 2nd Dec 2022,"12, 21, 35, 39, 45","6, 11","£111,540,000
Rolled",True
Tuesday 29th Nov 2022,"15, 20, 24, 35, 38","8, 12","£75,920,333
Rolled",True
Friday 25th Nov 2022,"19, 21, 35, 37, 39","2, 6","£67,132,541
Rolled",True
Tuesday 22nd Nov 2022,"21, 22, 24, 29, 42","3, 11","£56,748,589
Rolled",True
Friday 18th Nov 2022,"13, 16, 19, 35, 41","1, 11","£47,550,303
Rolled",True
Tuesday 15th Nov 2022,"13, 21, 24, 31, 33","1, 12","£35,479,091
Rolled",True
Friday 11th Nov 2022,"2, 19, 24, 25, 44","2, 10","£26,494,350
Rolled",True
Tuesday 8th Nov 2022,"3, 5, 32, 33, 50","1, 8","£14,856,300
Rolled",True
Friday 4th Nov 2022,"2, 11, 37, 45, 47","2, 3","£140,883,229",False
Tuesday 1st Nov 2022,"19, 37, 42, 47, 48","1, 6","£122,547,643
Rolled",True
Friday 28th Oct 2022,"14, 16, 21, 28, 35","1, 11","£111,894,067
Rolled",True
Tuesday 25th Oct 2022,"7, 24, 34, 39, 46","1, 6","£100,076,816
Rolled",True
Friday 21st Oct 2022,"25, 26, 28, 38, 40","1, 6","£90,544,468
Rolled",True
Tuesday 18th Oct 2022,"3, 5, 13, 42, 48","1, 6","£78,341,770
Rolled",True
Friday 14th Oct 2022,"24, 28, 29, 34, 48","3, 7","£69,613,418
Rolled",True
Tuesday 11th Oct 2022,"8, 23, 32, 35, 40","1, 8","£59,380,835
Rolled",True
Friday 7th Oct 2022,"26, 27, 42, 45, 50","1, 12","£49,259,271
Rolled",True
Tuesday 4th Oct 2022,"3, 18, 28, 42, 43","3, 12","£36,121,026
Rolled",True
Friday 30th Sep 2022,"1, 2, 11, 16, 26","3, 12","£27,036,551
Rolled",True
Tuesday 27th Sep 2022,"4, 20, 21, 34, 44","1, 3","£15,232,000
Rolled",True
Friday 23rd Sep 2022,"14, 15, 22, 35, 48","3, 8","£171,815,297.80",False
Tuesday 20th Sep 2022,"11, 21, 23, 32, 48","3, 12","£152,925,599
Rolled",True
Friday 16th Sep 2022,"10, 27, 36, 45, 49","3, 4","£140,833,357
Rolled",True
Tuesday 13th Sep 2022,"9, 12, 15, 40, 47","1, 11","£124,482,154
Rolled",True
Friday 9th Sep 2022,"17, 23, 24, 26, 27","4, 9","£112,723,000
Rolled",True
Tuesday 6th Sep 2022,"7, 10, 22, 29, 44","4, 5","£14,626,800
Rolled",True
Friday 2nd Sep 2022,"7, 12, 13, 20, 45","3, 12","£110,978,200.90",False
Tuesday 30th Aug 2022,"4, 6, 10, 15, 19","1, 4","£97,113,219
Rolled",True
Friday 26th Aug 2022,"22, 23, 25, 38, 44","11, 12","£86,284,946
Rolled",True
Tuesday 23rd Aug 2022,"19, 26, 31, 39, 48","2, 3","£73,999,475
Rolled",True
Friday 19th Aug 2022,"2, 9, 13, 19, 38","2, 6","£66,099,798
Rolled",True
Tuesday 16th Aug 2022,"10, 14, 25, 32, 39","7, 8","£55,133,982
Rolled",True
Friday 12th Aug 2022,"14, 17, 34, 35, 42","6, 10","£46,494,644
Rolled",True
Tuesday 9th Aug 2022,"18, 19, 21, 27, 47","5, 11","£34,583,514
Rolled",True
Friday 5th Aug 2022,"3, 29, 33, 35, 44","8, 10","£25,623,593
Rolled",True
Tuesday 2nd Aug 2022,"7, 18, 28, 40, 48","8, 11","£14,220,500
Rolled",True
Friday 29th Jul 2022,"3, 23, 38, 43, 48","3, 8","£35,051,148",False
Tuesday 26th Jul 2022,"3, 5, 17, 25, 27","1, 9","£23,142,411
Rolled",True
Friday 22nd Jul 2022,"16, 18, 29, 32, 50","4, 11","£14,482,300
Rolled",True
Tuesday 19th Jul 2022,"6, 23, 27, 40, 41","2, 12","£195,707,000",False
Friday 15th Jul 2022,"9, 17, 29, 38, 39","7, 10","£195,546,000
Rolled",True
Tuesday 12th Jul 2022,"14, 18, 24, 25, 50","6, 11","£194,189,000
Rolled",True
Friday 8th Jul 2022,"28, 31, 35, 43, 46","4, 7","£194,810,000
Rolled",True
Tuesday 5th Jul 2022,"7, 10, 25, 45, 48","3, 6","£185,077,898
Rolled",True
Friday 1st Jul 2022,"6, 18, 24, 34, 46","3, 12","£169,466,829
Rolled",True
Tuesday 28th Jun 2022,"10, 35, 42, 47, 48","2, 11","£152,102,048
Rolled",True
Friday 24th Jun 2022,"10, 17, 28, 44, 50","8, 12","£138,565,344
Rolled",True
Tuesday 21st Jun 2022,"6, 23, 36, 39, 47","8, 10","£123,428,111
Rolled",True
Friday 17th Jun 2022,"19, 21, 22, 31, 38","7, 11","£111,761,000
Rolled",True
Tuesday 14th Jun 2022,"2, 7, 27, 34, 40","3, 11","£14,824,000
Rolled",True
Friday 10th Jun 2022,"17, 26, 36, 37, 40","9, 12","£54,957,242.50",False
Tuesday 7th Jun 2022,"6, 16, 17, 25, 31","2, 6","£42,921,837
Rolled",True
Friday 3rd Jun 2022,"12, 28, 29, 34, 48","9, 11","£34,490,264
Rolled",True
Tuesday 31st May 2022,"3, 10, 13, 42, 49","3, 9","£22,894,587
Rolled",True
Friday 27th May 2022,"15, 23, 28, 34, 48","3, 5","£14,456,800
Rolled",True
Tuesday 24th May 2022,"10, 13, 27, 36, 37","2, 10","£43,463,036",False
Friday 20th May 2022,"8, 22, 23, 32, 50","3, 9","£34,161,724
Rolled",True
Tuesday 17th May 2022,"5, 28, 30, 48, 49","5, 11","£22,703,208
Rolled",True
Friday 13th May 2022,"3, 11, 17, 45, 48","4, 8","£14,463,600
Rolled",True
Tuesday 10th May 2022,"3, 25, 27, 28, 29","4, 9","£184,262,899.10",False
Friday 6th May 2022,"3, 8, 18, 24, 40","3, 11","£167,246,203
Rolled",True
Tuesday 3rd May 2022,"8, 20, 26, 47, 48","3, 8","£146,807,728
Rolled",True
Friday 29th Apr 2022,"10, 11, 20, 36, 37","3, 7","£133,283,578
Rolled",True
Tuesday 26th Apr 2022,"4, 25, 28, 34, 45","8, 11","£117,647,597
Rolled",True
Friday 22nd Apr 2022,"6, 11, 21, 35, 36","1, 9","£105,610,620
Rolled",True
Tuesday 19th Apr 2022,"2, 12, 17, 28, 46","6, 10","£91,127,452
Rolled",True
Friday 15th Apr 2022,"6, 24, 30, 32, 48","5, 6","£82,217,272
Rolled",True
Tuesday 12th Apr 2022,"21, 30, 31, 35, 47","2, 10","£72,305,405
Rolled",True
Friday 8th Apr 2022,"1, 15, 16, 38, 45","4, 11","£64,389,965
Rolled",True
Tuesday 5th Apr 2022,"1, 11, 13, 24, 49","5, 6","£54,201,384
Rolled",True
Friday 1st Apr 2022,"2, 7, 21, 31, 45","4, 10","£45,807,063
Rolled",True
Tuesday 29th Mar 2022,"8, 11, 33, 42, 43","6, 11","£34,147,332
Rolled",True
Friday 25th Mar 2022,"6, 10, 24, 27, 29","5, 12","£25,518,127
Rolled",True
Tuesday 22nd Mar 2022,"7, 17, 21, 29, 40","8, 11","£14,152,500
Rolled",True
Friday 18th Mar 2022,"1, 9, 14, 17, 43","6, 12","£44,997,255",False
Tuesday 15th Mar 2022,"1, 2, 12, 19, 26","2, 8","£33,625,791
Rolled",True
Friday 11th Mar 2022,"12, 19, 22, 23, 48","2, 6","£25,219,181
Rolled",True
